DATE,CLOSE
1962/01/31,68.84
1962/02/28,69.96
1962/03/31,69.55
1962/04/30,65.24
1962/05/31,59.63
1962/06/30,54.75
1962/07/31,58.23
1962/08/31,59.12
1962/09/30,56.27
1962/10/31,56.52
1962/11/30,62.26
1962/12/31,63.1
1963/01/31,66.2
1963/02/28,64.29
1963/03/31,66.57
1963/04/30,69.8
1963/05/31,70.8
1963/06/30,69.37
1963/07/31,69.13
1963/08/31,72.5
1963/09/30,71.7
1963/10/31,74.01
1963/11/30,73.23
1963/12/31,75.02
1964/01/31,77.04
1964/02/29,77.8
1964/03/31,78.98
1964/04/30,79.45
1964/05/31,80.37
1964/06/30,81.69
1964/07/31,83.18
1964/08/31,81.33
1964/09/30,84.18
1964/10/31,84.86
1964/11/30,84.42
1964/12/31,84.75
1965/01/31,87.56
1965/02/28,87.43
1965/03/31,86.16
1965/04/30,89.11
1965/05/31,88.42
1965/06/30,84.12
1965/07/31,85.25
1965/08/31,87.17
1965/09/30,89.96
1965/10/31,92.42
1965/11/30,91.61
1965/12/31,92.43
1966/01/31,92.88
1966/02/28,91.22
1966/03/31,89.23
1966/04/30,91.06
1966/05/31,86.13
1966/06/30,84.74
1966/07/31,83.6
1966/08/31,77.1
1966/09/30,76.56
1966/10/31,80.2
1966/11/30,80.45
1966/12/31,80.33
1967/01/31,86.61
1967/02/28,86.73
1967/03/31,90.2
1967/04/30,94.01
1967/05/31,89.08
1967/06/30,90.64
1967/07/31,94.75
1967/08/31,93.64
1967/09/30,96.71
1967/10/31,93.9
1967/11/30,94
1967/12/31,96.47
1968/01/31,92.24
1968/02/29,89.36
1968/03/31,90.2
1968/04/30,97.59
1968/05/31,98.68
1968/06/30,99.58
1968/07/31,97.74
1968/08/31,98.86
1968/09/30,102.67
1968/10/31,103.41
1968/11/30,108.37
1968/12/31,103.86
1969/01/31,103.01
1969/02/28,98.13
1969/03/31,101.51
1969/04/30,103.69
1969/05/31,103.46
1969/06/30,97.71
1969/07/31,91.83
1969/08/31,95.51
1969/09/30,93.12
1969/10/31,97.24
1969/11/30,93.81
1969/12/31,92.06
1970/01/31,85.02
1970/02/28,89.5
1970/03/31,89.63
1970/04/30,81.52
1970/05/31,76.55
1970/06/30,72.72
1970/07/31,78.05
1970/08/31,81.52
1970/09/30,84.21
1970/10/31,83.25
1970/11/30,87.2
1970/12/31,92.15
1971/01/31,95.88
1971/02/28,96.75
1971/03/31,100.31
1971/04/30,103.95
1971/05/31,99.63
1971/06/30,99.7
1971/07/31,95.58
1971/08/31,99.03
1971/09/30,98.34
1971/10/31,94.23
1971/11/30,93.99
1971/12/31,102.09
1972/01/31,103.94
1972/02/29,106.57
1972/03/31,107.2
1972/04/30,107.67
1972/05/31,109.53
1972/06/30,107.14
1972/07/31,107.39
1972/08/31,111.09
1972/09/30,110.55
1972/10/31,111.58
1972/11/30,116.67
1972/12/31,118.05
1973/01/31,116.03
1973/02/28,111.68
1973/03/31,111.52
1973/04/30,106.97
