DATE,DGS1MO,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,DGS20,DGS30
1989-01-03,,8.43,8.77,9.11,9.21,9.26,9.25,9.28,9.23,,9.09
1989-01-04,,8.54,8.87,9.14,9.25,9.26,9.24,9.28,9.22,,9.08
1989-01-05,,8.56,8.97,9.22,9.32,9.34,9.32,9.34,9.27,,9.1
1989-01-06,,8.58,8.97,9.2,9.32,9.35,9.3,9.32,9.25,,9.06
1989-01-09,,8.58,9.0,9.18,9.29,9.34,9.3,9.32,9.23,,9.05
1989-01-10,,8.6,8.93,9.15,9.25,9.32,9.29,9.31,9.24,,9.05
1989-01-11,,8.53,8.91,9.17,9.29,9.31,9.28,9.3,9.24,,9.05
1989-01-12,,8.55,8.88,9.06,9.2,9.23,9.2,9.2,9.14,,8.98
1989-01-13,,8.49,8.8,8.99,9.14,9.15,9.1,9.1,9.06,,8.89
1989-01-17,,8.54,8.84,9.03,9.16,9.17,9.11,9.1,9.06,,8.89
1989-01-18,,8.55,8.78,8.95,9.13,9.12,9.07,9.04,8.99,,8.84
1989-01-19,,8.52,8.75,8.91,9.09,9.11,9.06,9.05,9.0,,8.86
1989-01-20,,8.52,8.75,8.93,9.13,9.15,9.11,9.07,9.03,,8.89
1989-01-23,,8.56,8.77,8.95,9.13,9.13,9.06,9.05,9.0,,8.87
1989-01-24,,8.5,8.74,8.91,9.07,9.04,8.98,8.97,8.93,,8.78
1989-01-25,,8.59,8.83,9.0,9.1,9.11,9.05,9.03,8.99,,8.82
1989-01-26,,8.64,8.85,9.03,9.14,9.17,9.07,9.04,8.99,,8.81
1989-01-27,,8.62,8.83,8.98,9.07,9.09,9.03,9.0,8.95,,8.76
1989-01-30,,8.58,8.85,9.0,9.1,9.13,9.07,9.05,9.0,,8.83
1989-01-31,,8.69,8.91,9.04,9.12,9.13,9.08,9.03,9.01,,8.84
1989-02-01,,8.67,8.89,9.02,9.12,9.13,9.05,9.03,8.99,,8.83
1989-02-02,,8.68,8.9,9.03,9.12,9.12,9.05,9.02,8.98,,8.82
